P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
HAT-P-41 b,non-habitable,252.56,1.28,1.19,6479,2.238802,1.076,2.499,
HAT-P-42 b,non-habitable,309.94,1.18,1.53,5743,2.278725,1.135,2.677,
HAT-P-43 b,non-habitable,209.19,1.05,1.1,5645,1.110411,0.797,1.885,
HAT-P-44 b,non-habitable,,0.94,0.98,5295,0.675957,0.634,1.517,
HAT-P-44 c,non-habitable,508.7,0.94,0.98,5295,0.675957,0.634,1.517,
HAT-P-45 b,non-habitable,249.94,1.26,1.32,6330,2.506076,1.149,2.674,
HAT-P-46 b,non-habitable,123.85,1.28,1.4,6120,2.452824,1.151,2.69,
HAT-P-46 c,non-habitable,635.88,1.28,1.4,6120,2.452824,1.151,2.69,
HAT-P-47 b,non-habitable,,1.39,1.51,6703,4.157114,1.448,3.352,
HAT-P-48 b,non-habitable,,1.1,1.22,5946,1.677422,0.962,2.257,
HAT-P-49 b,non-habitable,,1.54,1.83,6820,6.521572,1.803,4.167,
HAT-P-50 b,non-habitable,,1.27,1.7,6280,4.023498,1.46,3.402,
HAT-P-51 b,non-habitable,,0.98,1.04,5449,0.857153,0.708,1.685,
HAT-P-52 b,non-habitable,260.28,0.89,0.89,5131,0.495908,0.548,1.318,
HAT-P-53 b,non-habitable,472.72,1.09,1.21,5956,1.650294,0.954,2.237,
HAT-P-54 b,non-habitable,241.53,0.65,0.62,4390,0.126858,0.286,0.71,
HAT-P-55 b,non-habitable,,1.01,1.01,5808,1.043515,0.765,1.801,
HAT-P-56 b,non-habitable,698.24,1.3,1.43,6566,3.400555,1.32,3.061,
HAT-P-57 b,non-habitable,,1.47,1.5,7500,6.387303,1.753,4.039,
HAT-P-65 b,non-habitable,167.49,1.21,1.86,5835,3.59815,1.419,3.337,
HAT-P-66 b,non-habitable,,1.25,1.88,6002,4.119565,1.503,3.521,
HAT-P-67 b,non-habitable,,1.64,1.55,6406,3.611242,1.373,3.192,
HATS-1 b,non-habitable,,0.99,1.04,5870,1.147722,0.8,1.879,
HATS-2 b,non-habitable,,0.88,0.9,5227,0.540073,0.569,1.364,
HATS-3 b,non-habitable,,1.21,1.4,6351,2.877349,1.23,2.861,
HATS-4 b,non-habitable,,1,0.93,5403,0.654204,0.62,1.478,
HATS-5 b,non-habitable,,0.94,0.87,5304,0.538692,0.566,1.353,
HATS-6 b,non-habitable,,0.57,0.57,3724,0.056063,0.193,0.495,
HATS-7 b,non-habitable,,0.85,0.81,4985,0.368015,0.476,1.15,
HATS-8 b,non-habitable,43.78,1.06,1.09,5679,1.100619,0.792,1.871,
HATS-9 b,non-habitable,,1.03,1.5,5336,1.636574,0.985,2.352,
HATS-10 b,non-habitable,,1.1,1.1,5880,1.309555,0.854,2.006,
HATS-11 b,non-habitable,270.21,1,1.44,6060,2.509027,1.169,2.734,
HATS-12 b,non-habitable,763.03,1.49,2.21,6408,7.388639,1.964,4.564,
HATS-13 b,non-habitable,172.6,0.96,0.89,5523,0.656806,0.617,1.465,
HATS-14 b,non-habitable,340.5,0.97,0.93,5346,0.637924,0.615,1.467,
HATS-15 b,non-habitable,689.89,0.87,0.92,5311,0.606816,0.601,1.435,
HATS-16 b,non-habitable,,0.97,1.24,5738,1.490642,0.918,2.166,
HATS-17 b,non-habitable,425.12,1.13,1.09,5846,1.247311,0.835,1.963,
HATS-18 b,non-habitable,629.14,1.04,1.02,5600,0.917999,0.727,1.721,
HATS-19 b,non-habitable,135.74,1.3,1.74,5896,3.282603,1.35,3.171,
HATS-20 b,non-habitable,86.48,0.91,0.89,5406,0.609711,0.599,1.427,
HATS-21 b,non-habitable,,1.08,1.02,5695,0.983821,0.748,1.766,
HATS-22 b,non-habitable,,0.76,0.69,4803,0.226662,0.376,0.917,
HATS-23 b,non-habitable,462.71,1.12,1.2,5780,1.439593,0.9,2.121,
HATS-24 b,non-habitable,775.77,1.21,1.17,6346,1.99869,1.025,2.385,
HATS-25 b,non-habitable,,0.99,1.11,5715,1.17287,0.816,1.925,
HATS-26 b,non-habitable,,1.3,2.04,6071,5.072139,1.66,3.884,
HATS-27 b,non-habitable,,1.42,1.74,6438,4.66651,1.558,3.619,
HATS-28 b,non-habitable,213.24,0.93,0.92,5498,0.6969,0.637,1.513,
HATS-29 b,non-habitable,,1.03,1.07,5670,1.067632,0.78,1.844,
HATS-30 b,non-habitable,,1.09,1.06,5943,1.259922,0.834,1.957,
HATS-31 b,non-habitable,,1.27,1.87,6050,4.203341,1.513,3.542,
HATS-32 b,non-habitable,292.41,1.1,1.1,5700,1.139731,0.805,1.9,
HATS-33 b,non-habitable,370.09,1.06,1.02,5659,0.96106,0.741,1.751,
HATS-34 b,non-habitable,,0.95,0.98,5380,0.72189,0.653,1.556,
HATS-35 b,non-habitable,,1.32,1.43,6300,2.902314,1.239,2.885,
HATS-36 b,non-habitable,886.81,1.14,1.19,5970,1.603085,0.939,2.202,
HATS-39 b,non-habitable,194.75,1.38,1.62,6572,4.397908,1.501,3.479,
HATS-40 b,non-habitable,505.37,1.56,2.26,6460,7.980622,2.034,4.725,
HATS-41 b,non-habitable,3083.44,1.5,1.71,6424,4.467908,1.525,3.545,
HATS-42 b,non-habitable,597.59,1.27,1.48,6060,2.650354,1.201,2.81,
HATS-43 b,non-habitable,82.98,0.84,0.81,5099,0.399891,0.493,1.187,
HATS-44 b,non-habitable,178.01,0.86,0.85,5080,0.428659,0.511,1.231,
HATS-45 b,non-habitable,222.52,1.27,1.31,6450,2.685222,1.181,2.743,
HATS-46 b,non-habitable,55,0.92,0.85,5495,0.595194,0.589,1.398,
HATS-50 b,non-habitable,123.99,1.17,1.12,5990,1.441131,0.889,2.084,
HATS-51 b,non-habitable,244.17,1.19,1.44,5758,2.045038,1.074,2.533,
HATS-52 b,non-habitable,,1.11,1.05,6010,1.280711,0.837,1.962,
HATS-53 b,non-habitable,94.87,0.96,1.1,5644,1.101598,0.794,1.878,
HATS-59 b,non-habitable,,1.04,1.04,5670,0.995272,0.754,1.781,
HATS-59 c,non-habitable,4037.84,1.04,1.04,5670,0.995272,0.754,1.781,
HD 142 b,non-habitable,397.42,1.1,0.86,6180,0.967923,0.72,1.682,
HD 142 c,non-habitable,1685.08,1.1,0.86,6180,0.967923,0.72,1.682,
HD 564 b,non-habitable,104.92,0.92,1.01,5902,1.110528,0.785,1.843,
HD 984 b,non-habitable,20666.1,1.2,1.23,6315,2.138168,1.062,2.473,
HD 1160 b,non-habitable,25117.26,,1.3,9790,13.86375,2.582,5.95,
HD 1461 b,non-habitable,6.45,1.02,1.09,5765,1.188271,0.819,1.93,
HD 1461 c,non-habitable,5.6,1.02,1.09,5765,1.188271,0.819,1.93,
HD 1502 b,non-habitable,985.61,1.61,4.5,5049,11.806911,2.685,6.479,
HD 1605 b,non-habitable,305.22,1.31,3.8,4757,6.634216,2.04,4.981,
HD 1605 c,non-habitable,1106.43,1.31,3.8,4757,6.634216,2.04,4.981,
HD 1666 b,non-habitable,2044.35,1.5,1.93,6317,5.32167,1.675,3.901,
HD 1690 b,non-habitable,1939.43,1.09,16.7,4393,93.189619,7.747,19.237,
HD 2039 b,non-habitable,1942.61,0.98,1.21,5947,1.643056,0.952,2.234,
HD 2638 b,non-habitable,,0.93,0.81,5192,0.420833,0.503,1.208,
HD 2952 b,non-habitable,508.7,2.54,12.02,4844,71.369944,6.665,16.217,
HD 3167 b,non-habitable,,0.88,0.83,5367,0.51036,0.549,1.31,
HD 3167 c,non-habitable,,0.88,0.83,5367,0.51036,0.549,1.31,
HD 3167 d,non-habitable,6.9,0.88,0.83,5367,0.51036,0.549,1.31,
HD 3651 b,non-habitable,73.44,0.79,0.95,5173,0.576182,0.589,1.416,
HD 3651 c,non-habitable,28.61,0.79,0.95,5173,0.576182,0.589,1.416,
HD 4113 b,non-habitable,495.99,0.99,1.13,5688,1.188243,0.822,1.942,
HD 4203 b,non-habitable,578.65,1.13,1.33,5701,1.676476,0.976,2.305,
HD 4203 c,non-habitable,689.93,1.13,1.33,5701,1.676476,0.976,2.305,
HD 4208 b,non-habitable,255.62,0.87,0.85,5571,0.624396,0.6,1.423,
HD 4308 b,non-habitable,12.88,0.85,0.92,5597,0.745224,0.655,1.551,
HD 4313 b,non-habitable,731.26,1.72,4.9,5035,13.844586,2.909,7.025,
HD 4732 b,non-habitable,753.52,1.74,5.4,4959,15.821723,3.122,7.56,
HD 4732 c,non-habitable,753.52,1.74,5.4,4959,15.821723,3.122,7.56,
HD 4747 b,non-habitable,19139.99,0.82,0.79,5340,0.455312,0.519,1.24,
HD 5319 b,non-habitable,616.8,1.56,3.26,5052,6.211241,1.947,4.698,
HD 5319 c,non-habitable,365.63,1.56,3.26,5052,6.211241,1.947,4.698,
HD 5583 b,non-habitable,1837.69,1.01,9.09,4830,40.346528,5.014,12.208,
HD 5608 b,non-habitable,445.12,1.55,5.5,4854,15.066566,3.061,7.445,
HD 5891 b,non-habitable,2416.34,1.91,8.7,4907,39.372464,4.936,11.979,
HD 6434 b,non-habitable,124,0.79,0.57,5835,0.337912,0.435,1.023,
HD 6718 b,non-habitable,495.99,0.96,1.02,5745,1.016835,0.758,1.788,
HD 7199 b,non-habitable,92.2,0.89,0.96,5386,0.695821,0.64,1.527,
HD 7449 b,non-habitable,352.91,1.05,1.01,6024,1.205237,0.812,1.901,
HD 7449 c,non-habitable,635.88,1.05,1.01,6024,1.205237,0.812,1.901,
HD 7924 b,non-habitable,,0.83,0.78,5177,0.392095,0.486,1.167,
HD 7924 c,non-habitable,7.85,0.83,0.78,5177,0.392095,0.486,1.167,
HD 7924 d,non-habitable,6.45,0.83,0.78,5177,0.392095,0.486,1.167,
HD 8535 b,non-habitable,216.2,1.13,1.19,6136,1.801048,0.985,2.302,
HD 8574 b,non-habitable,670.85,1.17,1.37,6080,2.301152,1.118,2.614,
HD 8673 b,non-habitable,4514.75,1.35,1.39,6472,3.041399,1.255,2.915,
HD 9174 b,non-habitable,352.91,1.03,1.67,5577,2.420613,1.182,2.8,
HD 9446 b,non-habitable,222.56,1,1,5793,1.010425,0.754,1.775,
HD 9446 c,non-habitable,578.65,1,1,5793,1.010425,0.754,1.775,
HD 9578 b,non-habitable,197.12,1.12,1.16,5940,1.483882,0.905,2.124,
HD 10180 c,non-habitable,13.1,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10180 d,non-habitable,11.75,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10180 e,non-habitable,25.11,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10180 f,non-habitable,23.91,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10180 g,non-habitable,21.41,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10180 h,non-habitable,64.42,1.06,1.21,5911,1.581221,0.936,2.198,
HD 10442 b,non-habitable,667.67,1.56,3.22,5034,5.922409,1.903,4.595,
HD 10647 b,non-habitable,295.68,1.1,1.1,6039,1.443894,0.888,2.078,
HD 10697 b,non-habitable,2171.53,1.15,1.72,5641,2.68764,1.24,2.933,
HD 11506 b,non-habitable,1093.71,1.19,1.38,6058,2.301257,1.119,2.619,
HD 11506 c,non-habitable,260.71,1.19,1.38,6058,2.301257,1.119,2.619,
HD 11755 b,non-habitable,2066.61,0.9,27.3,4312.5,231.276564,12.236,30.498,
HD 11964 b,non-habitable,197.76,1.12,2.18,5248,3.234284,1.391,3.332,
HD 11964 c,non-habitable,25.12,1.12,2.18,5248,3.234284,1.391,3.332,
HD 11977 b,non-habitable,1999.84,1.91,13,4975,92.885705,7.558,18.291,
HD 12484 b,non-habitable,947.46,1.01,1.02,5920,1.129384,0.791,1.856,
HD 12648 b,non-habitable,922.03,1.2,9.2,4835.8,41.527778,5.086,12.379,
HD 12661 b,non-habitable,731.26,1.07,1.12,5742,1.223429,0.832,1.962,
HD 12661 c,non-habitable,499.17,1.07,1.12,5742,1.223429,0.832,1.962,
HD 13189 b,non-habitable,4451.16,4.5,50.39,5150,31.793875,4.384,10.538,
HD 13808 b,non-habitable,10.33,0.7,0.76,5150,0.360356,0.467,1.122,
HD 13808 c,non-habitable,11.45,0.7,0.76,5150,0.360356,0.467,1.122,
HD 13908 b,non-habitable,275.02,1.29,1.72,6255,4.026799,1.463,3.41,
HD 13908 c,non-habitable,1631.03,1.29,1.72,6255,4.026799,1.463,3.41,
HD 13931 b,non-habitable,597.73,1.02,1.23,5829,1.567026,0.937,2.204,
HD 14067 b,non-habitable,2479.93,2.4,12.4,4815,74.151228,6.802,16.571,
HD 16141 b,non-habitable,68.36,1.01,1,5533,0.840877,0.698,1.657,
HD 16175 b,non-habitable,1516.57,1.35,1.87,6022,4.126065,1.502,3.518,
HD 16417 b,non-habitable,21.94,1.18,1.58,5936,2.761089,1.235,2.898,
HD 17092 b,non-habitable,1462.52,2.3,8.15,4650,27.678253,4.184,10.267,
HD 17156 b,non-habitable,,1.27,1.51,6079,2.786256,1.23,2.877,
HD 17674 b,non-habitable,276.61,0.98,1.18,5904,1.517886,0.918,2.155,
HD 18742 b,non-habitable,858.44,1.6,4.9,5048,13.988123,2.923,7.053,
HD 19467 b,non-habitable,16532.88,0.95,1.15,5680,1.235034,0.839,1.982,
HD 19994 b,non-habitable,534.14,1.34,1.93,5984,4.285198,1.534,3.596,
HD 20003 b,non-habitable,12.02,0.88,0.82,5940,0.749805,0.643,1.51,
HD 20003 c,non-habitable,13.42,0.88,0.82,5940,0.749805,0.643,1.51,
HD 20367 b,non-habitable,340.2,1.04,1.18,6128,1.761688,0.975,2.278,
HD 20781 b,non-habitable,12.05,0.76,0.64,5940,0.459205,0.504,1.182,
HD 20781 c,non-habitable,15.77,0.76,0.64,5940,0.459205,0.504,1.182,
HD 20782 b,non-habitable,604.09,1,1.21,5578,1.262082,0.853,2.021,
HD 20794 b,non-habitable,2.82,0.81,0.9,5490,0.660183,0.62,1.473,
HD 20794 d,non-habitable,3.53,0.81,0.9,5490,0.660183,0.62,1.473,
HD 20794 e,non-habitable,4.77,0.81,0.9,5490,0.660183,0.62,1.473,
HD 20868 b,non-habitable,632.7,0.78,0.79,4795,0.296005,0.43,1.049,
HD 21693 b,non-habitable,10.24,0.85,0.74,5940,0.609663,0.58,1.361,
HD 21693 c,non-habitable,20.58,0.85,0.74,5940,0.609663,0.58,1.361,
HD 22781 b,non-habitable,4339.88,0.75,0.74,5027,0.310872,0.436,1.053,
HD 23079 b,non-habitable,778.95,1.1,1.13,5848,1.339912,0.865,2.034,
HD 23127 b,non-habitable,476.91,1.13,1.52,5927,2.557145,1.189,2.791,
HD 23596 b,non-habitable,2575.31,1.27,2.09,5888,4.710355,1.618,3.801,
HD 24040 b,non-habitable,1274.94,1.18,1.33,5853,1.849663,1.016,2.389,
HD 24064 b,non-habitable,2988.64,1,38,4052.5,349.421123,15.144,38.23,
HD 25171 b,non-habitable,302.04,1.09,1.18,6160,1.798775,0.983,2.296,
HD 27442 b,non-habitable,429.22,1.2,6.6,4749,19.878627,3.532,8.628,
HD 27631 b,non-habitable,461.01,0.94,0.9,5940,0.903697,0.706,1.658,
HD 27894 b,non-habitable,211.43,0.8,0.8,4875,0.320713,0.446,1.084,
HD 27894 c,non-habitable,51.51,0.8,0.8,4875,0.320713,0.446,1.084,
HD 27894 d,non-habitable,1721.65,0.8,0.8,4875,0.320713,0.446,1.084,
HD 28185 b,non-habitable,1812.26,1.24,1.03,5482,0.859647,0.708,1.682,
HD 28254 b,non-habitable,368.81,1.06,1.48,5664,2.022582,1.075,2.54,
HD 28678 b,non-habitable,540.5,1.74,6.2,5076,22.896005,3.734,9.001,
HD 29021 b,non-habitable,763.06,0.85,0.85,5560,0.619479,0.598,1.418,
HD 30177 b,non-habitable,2565.78,1.05,1.12,5580,1.091095,0.793,1.879,
HD 30177 c,non-habitable,953.82,1.05,1.12,5580,1.091095,0.793,1.879,
HD 30562 b,non-habitable,410.14,1.22,1.64,5861,2.837097,1.258,2.957,
HD 30669 b,non-habitable,149.43,0.92,0.91,5400,0.631753,0.61,1.453,
HD 30856 b,non-habitable,572.29,1.35,4.2,4982,9.749972,2.448,5.923,
HD 31253 b,non-habitable,158.97,1.23,1.71,5960,3.310298,1.35,3.167,
HD 31527 b,non-habitable,11.54,0.96,1.09,5940,1.321827,0.854,2.005,
HD 31527 c,non-habitable,15.83,0.96,1.09,5940,1.321827,0.854,2.005,
HD 31527 d,non-habitable,16.5,0.97,1.09,5940,1.321827,0.854,2.005,
HD 32518 b,non-habitable,966.54,1.13,10.22,4580,41.233823,5.12,12.604,
HD 32963 b,non-habitable,222.56,0.94,0.9,5727,0.780749,0.665,1.569,
HD 33142 b,non-habitable,413.32,1.48,4.2,5052,10.309598,2.509,6.053,
HD 33283 b,non-habitable,,1.24,1.2,5995,1.668819,0.957,2.242,
HD 33564 b,non-habitable,2893.25,1.25,1.1,6250,1.656514,0.939,2.188,
HD 33844 b,non-habitable,623.16,1.75,4.4,4827,9.378906,2.418,5.887,
HD 33844 c,non-habitable,556.4,1.75,4.4,4827,9.378906,2.418,5.887,
HD 34445 b,non-habitable,199.98,1.07,1.38,5836,1.982025,1.053,2.477,
HD 34445 c,non-habitable,53.41,1.07,1.38,5836,1.982025,1.053,2.477,
HD 34445 d,non-habitable,30.84,1.07,1.38,5836,1.982025,1.053,2.477,
HD 34445 e,non-habitable,16.82,1.07,1.38,5836,1.982025,1.053,2.477,
HD 34445 f,non-habitable,37.83,1.07,1.38,5836,1.982025,1.053,2.477,
HD 34445 g,non-habitable,120.82,1.07,1.38,5836,1.982025,1.053,2.477,
HD 35759 b,non-habitable,1195.45,1.15,1.75,6060,3.670084,1.413,3.307,
HD 37124 b,non-habitable,214.61,0.83,0.82,5610,0.597543,0.586,1.387,
HD 37124 c,non-habitable,207.3,0.83,0.82,5610,0.597543,0.586,1.387,
HD 37124 d,non-habitable,221.29,0.83,0.82,5610,0.597543,0.586,1.387,
HD 37605 b,non-habitable,894.37,1,0.9,5448,0.640211,0.612,1.456,
HD 37605 c,non-habitable,1070.19,1,0.9,5448,0.640211,0.612,1.456,
HD 38283 b,non-habitable,108.1,1.08,1.46,5945,2.380579,1.146,2.689,
HD 38529 b,non-habitable,295.68,1.48,2.44,5697,5.626708,1.789,4.224,
HD 38529 c,non-habitable,7535.18,1.48,2.44,5697,5.626708,1.789,4.224,
HD 38801 b,non-habitable,3401.96,1.36,2.53,5222,4.270497,1.601,3.838,
HD 38858 b,non-habitable,30.55,0.9,0.86,5940,0.823545,0.674,1.582,
HD 39091 b,non-habitable,3274.78,1.1,2.1,5888,4.755538,1.626,3.819,
HD 39194 b,non-habitable,3.72,0.59,0.79,5150,0.389583,0.485,1.167,
HD 39194 c,non-habitable,5.95,0.59,0.79,5150,0.389583,0.485,1.167,
HD 39194 d,non-habitable,5.15,0.59,0.79,5150,0.389583,0.485,1.167,
HD 39392 b,non-habitable,4196.81,1.08,1.68,5951,3.163019,1.321,3.098,
HD 40307 b,non-habitable,3.82,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40307 c,non-habitable,6.43,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40307 d,non-habitable,8.74,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40307 e,non-habitable,3.5,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40307 f,non-habitable,3.62,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40307 g,psychroplanet,7.09,0.77,0.65,4977,0.233304,0.379,0.917,
HD 40956 b,non-habitable,858.44,2,8.56,4869,36.948474,4.79,11.643,
HD 40979 b,non-habitable,1274.94,1.1,1.21,6205,1.947277,1.02,2.381,
HD 41004 A b,non-habitable,807.57,0.7,1.04,5035,0.620552,0.616,1.487,
HD 41004 B b,non-habitable,,0.4,0.3,5035,0.052426,0.179,0.432,
HD 41248 c,non-habitable,7.09,0.92,0.78,5713,0.581482,0.574,1.356,
HD 42012 b,non-habitable,508.7,0.83,0.82,5405,0.514873,0.55,1.311,
HD 42618 b,non-habitable,14.4,1.01,1,5727,0.963229,0.739,1.743,
HD 43197 b,non-habitable,190.76,0.96,1,5508,0.825782,0.693,1.645,
HD 43691 b,non-habitable,791.67,1.38,1.88,6200,4.643354,1.576,3.678,
HD 44219 b,non-habitable,184.41,1,1.32,5752,1.711249,0.983,2.318,
HD 45184 b,non-habitable,12.72,1,1.03,5940,1.182737,0.808,1.896,
HD 45350 b,non-habitable,569.11,1.02,1.27,5754,1.586269,0.947,2.231,
HD 45364 b,non-habitable,59.52,0.82,0.89,5434,0.617213,0.602,1.432,
HD 45364 c,non-habitable,209.17,0.82,0.89,5434,0.617213,0.602,1.432,
HD 45652 b,non-habitable,149.43,0.83,0.96,5312,0.649539,0.621,1.485,
HD 46375 b,non-habitable,10.05,0.91,1,5199,0.655495,0.628,1.507,
HD 47186 b,non-habitable,22.79,0.99,1.01,5675,0.946024,0.734,1.735,
HD 47186 c,non-habitable,111.47,0.99,1.01,5675,0.946024,0.734,1.735,
HD 47366 b,non-habitable,556.4,1.81,7.3,4866,26.805506,4.08,9.92,
HD 47366 c,non-habitable,591.37,1.81,7.3,4866,26.805506,4.08,9.92,
HD 47536 b,non-habitable,1589.7,0.94,23.47,4380,181.891516,10.828,26.904,
HD 48265 b,non-habitable,368.81,0.93,1.88,5940,3.935708,1.474,3.459,
HD 49674 b,non-habitable,5.3,1.07,0.94,5482,0.715981,0.646,1.535,
HD 50499 b,non-habitable,543.68,1.27,1.38,5902,2.073218,1.072,2.519,
HD 50554 b,non-habitable,1640.57,1.04,1.11,5902,1.341321,0.863,2.026,
HD 51608 b,non-habitable,13.13,0.8,1.02,5150,0.647379,0.626,1.504,
HD 51608 c,non-habitable,17.96,0.8,1.02,5150,0.647379,0.626,1.504,
HD 52265 b,non-habitable,333.84,1.2,1.25,6159,2.017208,1.041,2.432,
HD 52265 c,non-habitable,111.28,1.2,1.25,6159,2.017208,1.041,2.432,
HD 59686 A b,non-habitable,2200.14,1.9,13.2,4658,73.592848,6.82,16.729,
HD 60532 b,non-habitable,2928.23,1.44,2.67,6095,8.787519,2.182,5.102,
HD 60532 c,non-habitable,6934.27,1.44,2.67,6095,8.787519,2.182,5.102,
HD 62509 b,non-habitable,922.03,1.47,9.3,4666,36.781939,4.82,11.819,
HD 63454 b,non-habitable,,0.8,0.68,4841,0.226864,0.376,0.915,
HD 63765 b,non-habitable,203.48,0.86,0.83,5432,0.532642,0.559,1.33,
HD 65216 b,non-habitable,400.6,0.92,0.85,5666,0.658549,0.613,1.449,
HD 65216 c,non-habitable,54.05,0.92,0.85,5666,0.658549,0.613,1.449,
HD 66141 b,non-habitable,1907.64,1.1,21.4,4305,141.126949,9.56,23.838,
HD 66428 b,non-habitable,896.59,1.15,1.16,5752,1.32046,0.864,2.036,
HD 67087 b,non-habitable,972.9,1.36,1.55,6330,3.460733,1.35,3.142,
HD 67087 c,non-habitable,1542.01,1.36,1.55,6330,3.460733,1.35,3.142,
HD 68402 b,non-habitable,976.08,1.12,1.02,5950,1.169925,0.803,1.884,
HD 68988 b,non-habitable,591.37,1.2,1.14,5767,1.289732,0.853,2.01,
HD 69830 b,non-habitable,45.37,0.86,0.9,5385,0.604336,0.597,1.423,
HD 69830 c,non-habitable,52.43,0.86,0.9,5385,0.604336,0.597,1.423,
HD 69830 d,non-habitable,80.41,0.86,0.9,5385,0.604336,0.597,1.423,
HD 70642 b,non-habitable,635.88,1,0.84,5670,0.654306,0.611,1.444,
HD 72659 b,non-habitable,1001.51,0.95,1.36,5926,2.046512,1.064,2.497,
HD 72892 b,non-habitable,1732.77,1.02,1.22,5688,1.397809,0.892,2.107,
HD 73256 b,non-habitable,594.55,1.05,0.89,5570,0.684054,0.628,1.489,
HD 73267 b,non-habitable,972.9,0.89,1.04,5317,0.775574,0.679,1.622,
HD 73526 b,non-habitable,715.36,1.08,1.49,5590,1.944955,1.058,2.507,
HD 73526 c,non-habitable,715.36,1.08,1.49,5590,1.944955,1.058,2.507,
HD 73534 b,non-habitable,365.63,1.29,2.65,4952,3.788822,1.528,3.702,
HD 74156 b,non-habitable,565.3,1.24,1.64,5960,3.044827,1.295,3.037,
HD 74156 c,non-habitable,2542.57,1.24,1.64,5960,3.044827,1.295,3.037,
HD 75289 b,non-habitable,,1.05,1.25,6120,1.966598,1.031,2.409,
HD 75784 b,non-habitable,365.63,1.41,3.3,4917,5.711083,1.879,4.559,
HD 75784 c,non-habitable,1780.46,1.41,3.3,4917,5.711083,1.879,4.559,
HD 75898 b,non-habitable,798.03,1.28,1.6,6021,3.018591,1.285,3.009,
HD 76700 b,non-habitable,,1,1.33,5726,1.706077,0.983,2.32,
HD 76920 b,non-habitable,1249.5,1.17,7.47,4698,24.388389,3.92,9.598,
HD 77065 b,non-habitable,13035.54,0.75,0.69,4990,0.264313,0.403,0.974,
HD 77338 b,non-habitable,158.97,0.93,0.88,5370,0.577766,0.584,1.393,
HD 79498 b,non-habitable,426.04,1.06,1.15,5740,1.283489,0.852,2.01,
HD 80606 b,non-habitable,,0.98,0.98,5645,0.874979,0.708,1.673,
HD 81040 b,non-habitable,2181.07,0.96,0.86,5700,0.700465,0.631,1.49,
HD 81688 b,non-habitable,562.75,2.1,13,4753,77.383406,6.967,17.018,
HD 82886 b,non-habitable,413.32,1.06,4.8,5112,14.116783,2.927,7.046,
HD 82943 b,non-habitable,4610.13,1.18,1.12,5874,1.339867,0.864,2.03,
HD 82943 c,non-habitable,4575.16,1.18,1.12,5874,1.339867,0.864,2.03,
HD 82943 d,non-habitable,92.2,1.18,1.12,5874,1.339867,0.864,2.03,
HD 83443 b,non-habitable,,0.9,1.04,5460,0.862436,0.71,1.689,
HD 85390 b,non-habitable,41.97,0.76,0.82,5186,0.438465,0.514,1.234,
HD 85390 c,non-habitable,63.59,0.76,0.82,5186,0.438465,0.514,1.234,
HD 85512 b,non-habitable,3.5,0.69,0.53,4715,0.125971,0.282,0.689,
HD 86081 b,non-habitable,,1.21,1.22,6028,1.763204,0.981,2.298,
HD 86226 b,non-habitable,476.91,1.02,0.98,5940,1.057716,0.764,1.793,
HD 86264 b,non-habitable,2225.58,1.42,1.88,6210,4.715981,1.587,3.703,
HD 86950 b,non-habitable,1144.58,1.66,8.8,4805,37.0364,4.809,11.721,
HD 87646 A b,non-habitable,3942.46,1.12,1.55,5770,2.389222,1.161,2.735,
HD 87646 A c,non-habitable,18122.58,1.12,1.55,5770,2.389222,1.161,2.735,
HD 87883 b,non-habitable,26039.29,0.82,0.76,4980,0.318738,0.443,1.071,
HD 88133 b,non-habitable,,1.2,1.93,5494,3.044802,1.332,3.163,
HD 89307 b,non-habitable,635.88,1.03,1.05,5950,1.239756,0.827,1.94,
HD 89345 b,non-habitable,,1.23,1.66,5609,2.44413,1.185,2.805,
HD 89744 b,non-habitable,2829.67,1.4,2.14,6196,6.055681,1.8,4.201,
HD 89744 c,non-habitable,1017.41,1.4,2.14,6196,6.055681,1.8,4.201,
HD 90156 b,non-habitable,18.12,0.84,1.61,5599,2.266681,1.142,2.704,
HD 92788 b,non-habitable,8819.66,1.13,0.99,5559,0.839744,0.697,1.652,
HD 92788 c,non-habitable,286.15,1.13,0.99,5559,0.839744,0.697,1.652,
HD 93083 b,non-habitable,117.64,0.7,0.85,4995,0.396092,0.493,1.192,
HD 93385 b,non-habitable,8.36,1.07,1.19,5940,1.565398,0.93,2.182,
HD 93385 c,non-habitable,10.11,1.07,1.19,5940,1.565398,0.93,2.182,
HD 95086 b,non-habitable,1398.94,1.6,1.71,7550,8.478848,2.019,4.653,
HD 95089 b,non-habitable,381.53,1.58,4.9,5002,13.485179,2.876,6.953,
HD 95127 b,non-habitable,1592.88,1.2,20,4218,113.599432,8.599,21.531,
